password,username,email,is_staff
n12knjkdw,sisi,sisi@kissi.missy,
mnuieuirf,volf,forest@temnii.les,
cknasdjkvbsf,jadi,riodemarokko@leo.net,1
bvhfdvs,kasha,tapor@vanya.rus,
nmvjksdv,killer,headshot@everytime.nomiss,
bjcvjdgyjs,sauron,glas@fire.ass,1
klvlsdkv,doter,zadrot@warik.com,
wyfwtu,politik,sluga@naroda.net,
nvjksnv,sdoklik,fik@pik.com,
nvkjsdfv,banan,yellow@fruit.com,1
bdcsuk,kiwi,brown@fruit.com,1
klvwfjvkls,sparrow,gnezdo@tut.by,
nsjkvn,kulich,bulka@tasty.com,
nwelvnj,kirpich,kusok@zdaniya.ru,1
tewfvsf,vodka,brilliant@alcogol.rus,
bjsdfvor,jim,worm@best.org,
casdrty,timmy,human@spark.com,
vjkefhilwu,tommy,gun@gangsta.tut,
nnjerwfk,hellboy,pekla@goryacho.com,
kjweuifviu,dream,wont@to.do,1
cweru,keks,banan@kiwi.com,
jivis,django,free@man.com,
hwifhqiwjeru,umbrella,zontik@suhoi.tut,
ihfviwhef,lupo,sobaka@yellow.disney,
jsbvuhfvb,bugs,rabbit@tunes.com,
ncjhhw,graf,vampire@zdes.net,
vhwuvgwu,vidok,fashon@lopast.com,
vnjksdnv,homiyak,grizun@vsego.zdes,
uehfv,flomaster,working@hard.com,
fyeruv,engine,dizel@power.com,
csidhuf,nuk,rad@min.che,
dnjehi,kolbasa,doctor@soviet.ussr,
ueyuihc,dubrovsky,pushkin@poet.rus,
dbhqwcdwg,max,min@avg.eq,
tryenv,tost,za@teh.kto,
nsjdciweu,cat,balck@panter.com,1
buyfgvs,lenin,mavzoley@ploshad.moskow,
gjknbiudf,ukol,popa@injection.tut,
jvdiuf,link,go@out.nah,
ghierj,piknik,like@to.rest,
fjdnvwiu,lom,metal@big.havy,
jfjviuwf,chijik,pijik@bird.rus,
vywye,kolp,vonuchka@zdes.com,
rtnjsdvhf,rtutnik,gradusnik@opasniy.com,
rjkebfvh,lap,fast@car.ru,
udweyty,monkey,eat@bananas.de,
duicdge,lindemann,rummstein@lider.de,1
jvvhfui,joker,best@card.com,
vdivuf,lemming,green@man.com,
vyuvu,ref,cool@man.com,
12312OLeg,OLEGKA,oleg_ne_sovbaka@mail.ru,1
jkjdrhg,Yrik,yrec@gnom.tut,1
ndjics,kilon,likom@lit.res,
husis,Pussy,hubhub@hub.com,
prikol,polkan,ya@vbutke.ru,
lin,mac,win@com.com,
jijijij,holop,pinok@hata.by,
litolin,soplyak,nosik@lefyhole.inside,
nuk,chip,burunduk@rescurer.disney,
kcsdoivf,sapun,joul@amper.com,
